1995,Local,NC,North Carolina,1995-07-01 00:00:00,1,0,1,1,0,Black,Non-Hispanic,1,Vandalism,1,Residence,National Origin,Adult,FALSE,FALSE
1995,Federal,OH,Ohio,1995-08-01 00:00:00,0,1,1,1,0,White,Non-Hispanic,1,Intimidation,1,Commercial Building,Disability,Juvenile,FALSE,FALSE
1995,State/Local,MI,Michigan,1995-09-01 00:00:00,1,0,2,1,1,Asian American,Non-Hispanic,2,Vandalism,2,Residence,Religion,Adult,FALSE,FALSE
1995,Local,CO,Colorado,1995-10-01 00:00:00,0,1,1,1,0,Hispanic,Non-Hispanic,1,Simple Assault,1,School,Sexual Orientation,Juvenile,FALSE,FALSE
1995,Federal,VA,Virginia,1995-11-01 00:00:00,1,0,1,1,0,White,Non-Hispanic,1,Destruction/Damage/Vandalism of Property,1,Residence,Disability,Adult,FALSE,FALSE
1995,State/Local,TN,Tennessee,1995-12-01 00:00:00,0,1,2,0,2,Black,Non-Hispanic,2,Vandalism,2,Commercial Building,National Origin,Juvenile,FALSE,FALSE
1996,State/Local,CA,California,1996-01-01 00:00:00,1,0,1,1,0,Asian American,Non-Hispanic,1,Intimidation,1,Residence,Sexual Orientation,Adult,FALSE,FALSE
1996,Local,NY,New York,1996-02-01 00:00:00,0,1,2,0,2,Black,Non-Hispanic,2,Destruction/Damage/Vandalism of Property,2,Commercial Building,Disability,Juvenile,FALSE,FALSE
1996,Federal,TX,Texas,1996-03-01 00:00:00,1,0,2,1,1,Hispanic,Non-Hispanic,2,Vandalism,2,Residence,Religion,Adult,FALSE,FALSE
1996,State/Local,IL,Illinois,1996-04-01 00:00:00,0,1,1,1,0,White,Non-Hispanic,1,Simple Assault,1,School,National Origin,Juvenile,FALSE,FALSE
1996,Federal,GA,Georgia,1996-05-01 00:00:00,1,0,1,1,0,American Indian/Alaska Native,Non-Hispanic,1,Intimidation,1,Commercial Building,Disability,Adult,FALSE,FALSE
1996,State/Local,AZ,Arizona,1996-06-01 00:00:00,0,1,2,0,2,Hispanic,Non-Hispanic,2,Destruction/Damage/Vandalism of Property,2,Residence,Sexual Orientation,Juvenile,FALSE,FALSE
1996,Local,NC,North Carolina,1996-07-01 00:00:00,1,0,1,1,0,Black,Non-Hispanic,1,Vandalism,1,Residence,National Origin,Adult,FALSE,FALSE
1996,Federal,OH,Ohio,1996-08-01 00:00:00,0,1,1,1,0,White,Non-Hispanic,1,Intimidation,1,Commercial Building,Disability,Juvenile,FALSE,FALSE
1991,Federal Bureau of Investigation,NY,New York,1991-03-04,1,0,2,1,1,White,Hispanic,2,Anti-Religious,2,"Brooklyn, NY","Anti-White, Anti-Hispanic",Adult,Yes,Yes
1992,State Police,CA,California,1992-02-27,0,1,1,1,0,Asian,Non-Hispanic,1,Anti-Religious,1,"Los Angeles, CA",Anti-Asian,Juvenile,No,No
1993,Federal Bureau of Investigation,FL,Florida,1993-08-25,2,0,3,2,1,Black,Non-Hispanic,3,Anti-Racial Group,3,"Miami, FL",Anti-Black,Adult,Yes,Yes
1994,Local Police Department,TX,Texas,1994-11-02,1,0,1,1,0,Native American,Non-Hispanic,1,Anti-Individual,1,"Dallas, TX",Anti-Native American,Adult,No,No
1995,Federal Bureau of Investigation,IL,Illinois,1995-05-15,0,1,2,1,1,White,Hispanic,2,Anti-Religious,2,"Chicago, IL","Anti-White, Anti-Hispanic",Juvenile,Yes,Yes
1996,State Police,GA,Georgia,1996-04-03,2,0,2,2,0,Black,Non-Hispanic,2,Anti-Racial Group,2,"Atlanta, GA",Anti-Black,Adult,Yes,No
1997,Local Police Department,OH,Ohio,1997-09-12,1,0,1,1,0,White,Non-Hispanic,1,Anti-Individual,1,"Columbus, OH",Anti-White,Adult,No,No
1998,Federal Bureau of Investigation,NJ,New Jersey,1998-01-20,0,1,2,1,1,Asian,Non-Hispanic,2,Anti-Religious,2,"Newark, NJ",Anti-Asian,Juvenile,Yes,Yes
1999,State Police,AZ,Arizona,1999-07-10,2,0,3,2,1,Hispanic,Non-Hispanic,3,Anti-Racial Group,3,"Phoenix, AZ",Anti-Hispanic,Adult,Yes,Yes
2000,Local Police Department,IN,Indiana,2000-03-21,1,0,1,1,0,White,Non-Hispanic,1,Anti-Individual,1,"Indianapolis, IN",Anti-White,Adult,No,No
2001,Federal Bureau of Investigation,NC,North Carolina,2001-11-15,0,1,2,1,1,Black,Non-Hispanic,2,Anti-Religious,2,"Charlotte, NC",Anti-Black,Juvenile,Yes,Yes
2002,State Police,CO,Colorado,2002-02-17,2,0,2,2,0,White,Non-Hispanic,2,Anti-Racial Group,2,"Denver, CO",Anti-White,Adult,Yes,No
2003,Local Police Department,MI,Michigan,2003-06-30,1,0,1,1,0,White,Non-Hispanic,1,Anti-Individual,1,"Detroit, MI",Anti-White,Adult,No,No
2004,Federal Bureau of Investigation,SC,South Carolina,2004-01-12,0,1,2,1,1,Black,Non-Hispanic,2,Anti-Religious,2,"Columbia, SC",Anti-Black,Juvenile,Yes,Yes
2005,State Police,VT,Vermont,2005-09-23,2,0,2,2,0,White,Non-Hispanic,2,Anti-Racial Group,2,"Montpelier, VT",Anti-White,Adult,Yes,No
2006,Local Police Department,KY,Kentucky,2006-04-20,1,0,1,1,0,White,Non-Hispanic,1,Anti-Individual,1,"Frankfort, KY",Anti-White,Adult,No,No
2007,Federal Bureau of Investigation,LA,Louisiana,2007-12-05,0,1,2,1,1,Black,Non-Hispanic,2,Anti-Religious,2,"New Orleans, LA",Anti-Black,Juvenile,Yes,Yes
2008,State Police,IA,Iowa,2008-03-06,2,0,2,2,0,White,Non-Hispanic,2,Anti-Racial Group,2,"Des Moines, IA",Anti-White,Adult,Yes,No
2009,Local Police Department,MN,Minnesota,2009-08-27,1,0,1,1,0,Native American,Non-Hispanic,1,Anti-Individual,1,"St. Paul, MN",Anti-Native American,Adult,No,No
2010,Federal Bureau of Investigation,WA,Washington,2010-05-22,0,1,2,1,1,Asian,Non-Hispanic,2,Anti-Religious,2,"Seattle, WA",Anti-Asian,Juvenile,Yes,Yes
2011,State Police,AR,Arkansas,2011-02-10,2,0,2,2,0,Black,Non-Hispanic,2,Anti-Racial Group,2,"Little Rock, AR",Anti-Black,Adult,Yes,No
2012,Local Police Department,WV,West Virginia,2012-11-04,1,0,1,1,0,White,Non-Hispanic,1,Anti-Individual,1,"Charleston, WV",Anti-White,Adult,No,No
2013,Federal Bureau of Investigation,NM,New Mexico,2013-09-16,0,1,2,1,1,Hispanic,Non-Hispanic,2,Anti-Religious,2,"Albuquerque, NM",Anti-Hispanic,Juvenile,Yes,Yes
2014,State Police,RI,Rhode Island,2014-01-02,2,0,2,2,0,White,Non-Hispanic,2,Anti-Racial Group,2,"Providence, RI",Anti-White,Adult,Yes,No
".,data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1,1992,Local,AL,Alabama,7/4/1992,1,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Government','Adult','Robbery',True,'Anti-Government'
2,2010,Local,AK,Alaska,2/25/2010,0,1,1,1,0,Asian,Asian,1,Hate Crime Against Society,1,Residence,'Anti-Asian','Juvenile','Vandalism',True,'Anti-Asian'
3,1994,Federal,HI,Hawaii,10/15/1994,1,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Black',,'Robbery',True,'Anti-Black'
4,2005,State,FL,Florida,9/22/2005,0,0,2,1,1,White,Non-Hispanic,2,Burglary,2,Commercial Business,'Anti-Gay','Adult, Juvenile',False,'Anti-Gay'
5,1999,Local,ME,Maine,5/20/1999,1,0,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-Native American',,'Vandalism',True,'Anti-Native American'
6,2008,Local,MN,Minnesota,10/28/2008,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,School,'Anti-White','Juvenile',False,'Anti-White'
7,1996,Local,CO,Colorado,3/27/1996,1,0,1,1,0,Asian,Asian,1,Hate Crime Against Society,1,Commercial Business,'Anti-Asian',,'Robbery',True,'Anti-Asian'
8,2013,State,TX,Texas,1/25/2013,1,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White',,'Vandalism',True,'Anti-White'
9,2000,Local,RI,Rhode Island,6/12/2000,0,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Black',,'Robbery',True,'Anti-Black'
10,1993,State,SC,South Carolina,8/22/1993,1,0,1,1,0,Hispanic,Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Hispanic',,'Robbery',True,'Anti-Hispanic'
11,2011,Local,DE,Delaware,4/10/2011,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White','Juvenile',False,'Anti-White'
12,1998,State,GA,Georgia,2/25/1998,0,0,2,1,1,Black,Non-Hispanic,2,Burglary,2,Residence,'Anti-Black','Adult, Juvenile',False,'Anti-Black'
13,2004,Local,CT,Connecticut,1/15/2004,1,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-White',,'Robbery',True,'Anti-White'
14,1995,State,IN,Indiana,9/12/1995,0,0,2,1,1,White,Non-Hispanic,2,Burglary,2,Residence,'Anti-Gay','Adult, Juvenile',False,'Anti-Gay'
15,2009,Local,NC,North Carolina,11/18/2009,1,0,1,1,0,Hispanic,Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Hispanic',,'Robbery',True,'Anti-Hispanic'
16,1997,Local,MO,Missouri,7/4/1997,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White','Juvenile',False,'Anti-White'
17,2012,State,OH,Ohio,3/25/2012,0,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Black',,'Robbery',True,'Anti-Black'
18,2006,Local,MT,Montana,8/12/2006,0,0,2,1,1,Native American,Non-Hispanic,2,Burglary,2,Residence,'Anti-Native American','Adult, Juvenile',False,'Anti-Native American'
19,1994,State,IA,Iowa,6/15/1994,0,0,2,1,1,White,Non-Hispanic,2,Burglary,2,Residence,'Anti-Gay','Adult, Juvenile',False,'Anti-Gay'
20,2007,Local,WI,Wisconsin,9/28/2007,1,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Black',,'Robbery',True,'Anti-Black'
21,1992,Local,VT,Vermont,5/1/1992,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White','Juvenile',False,'Anti-White'
22,2014,State,VT,Vermont,1/10/2014,1,0,1,1,0,Hispanic,Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Hispanic',,'Robbery',True,'Anti-Hispanic'
23,1996,Local,OR,Oregon,11/22/1996,0,0,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Native American',,'Robbery',True,'Anti-Native American'
24,2005,Local,KY,Kentucky,4/15/2005,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White','Juvenile',False,'Anti-White'
25,1999,State,ND,North Dakota,6/1/1999,0,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Black',,'Robbery',True,'Anti-Black'
26,2008,State,LA,Louisiana,10/25/2008,1,0,1,1,0,Hispanic,Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-Hispanic',,'Vandalism',True,'Anti-Hispanic'
27,1993,Local,NE,Nebraska,9/15/1993,0,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-White',,'Robbery',True,'Anti-White'
28,2013,Local,SD,South Dakota,6/10/2013,1,0,1,1,0,Asian,Asian,1,Hate Crime Against Society,1,Commercial Business,'Anti-Asian',,'Robbery',True,'Anti-Asian'
29,2002,State,KS,Kansas,3/22/2002,1,0,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Native American',,'Robbery',True,'Anti-Native American'
30,1998,Local,IL,Illinois,1/10/1998,0,1,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-Black','Juvenile',False,'Anti-Black'
31,2006,Local,ND,North Dakota,11/15/2006,0,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-White',,'Robbery',True,'Anti-White'
32,1994,State,WY,Wyoming,5/1/1994,0,0,2,1,1,Asian,Asian,2,Burglary,2,Residence,'Anti-Asian','Adult, Juvenile',False,'Anti-Asian'
33,2010,Local,OK,Oklahoma,8/12/2010,0,1,1,1,0,Hispanic,Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-Hispanic','Juvenile',False,'Anti-Hispanic'
34,1997,Local,MA,Massachusetts,10/10/1997,1,0,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Native American',,'Robbery',True,'Anti-Native American'
35,2009,State,ID,Idaho,2/20/2009,1,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-White',,'Robbery',True,'Anti-White'
36,1996,Local,HI,Hawaii,9/1/1996,0,0,2,1,1,Black,Non-Hispanic,2,Burglary,2,Residence,'Anti-Black','Adult, Juvenile',False,'Anti-Black'
37,2012,Local,AZ,Arizona,11/15/2012,0,0,1,1,0,Asian,Asian,1,Hate Crime Against Society,1,Gas Station,'Anti-Asian',,'Robbery',True,'Anti-Asian'
38,2003,State,VT,Vermont,4/25/2003,0,0,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Native American',,'Robbery',True,'Anti-Native American'
39,1995,Local,ME,Maine,10/15/1995,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White','Juvenile',False,'Anti-White'
40,2007,State,MI,Michigan,6/10/2007,0,0,1,1,0,Hispanic,Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Hispanic',,'Robbery',True,'Anti-Hispanic'
41,1993,State,MT,Montana,7/1/1993,0,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-White',,'Robbery',True,'Anti-White'
42,2011,Local,WA,Washington,5/28/2011,1,0,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-Native American',,'Robbery',True,'Anti-Native American'
43,2001,State,AR,Arkansas,3/25/2001,0,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Black',,'Robbery',True,'Anti-Black'
44,1999,Local,OR,Oregon,2/10/1999,0,1,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-White','Juvenile',False,'Anti-White'
45,2008,Local,IL,Illinois,7/20/2008,1,0,1,1,0,Asian,Asian,1,Hate Crime Against Society,1,Gas Station,'Anti-Asian',,'Robbery',True,'Anti-Asian'
46,1992,State,CO,Colorado,8/1/1992,0,0,2,1,1,Hispanic,Hispanic,2,Burglary,2,Residence,'Anti-Hispanic','Adult, Juvenile',False,'Anti-Hispanic'
47,2005,Local,DE,Delaware,9/15/2005,0,0,1,1,0,Black,Non-Hispanic,1,Hate Crime Against Society,1,Commercial Business,'Anti-Black',,'Robbery',True,'Anti-Black'
48,1996,State,WI,Wisconsin,10/22/1996,0,0,1,1,0,White,Non-Hispanic,1,Hate Crime Against Society,1,Gas Station,'Anti-White',,'Robbery',True,'Anti-White'
49,2013,Local,NM,New Mexico,5/28/2013,0,1,1,1,0,Native American,Non-Hispanic,1,Hate Crime Against Society,1,Residence,'Anti-Native American','Juvenile',False,'Anti-Native American'
50,2009,State,ME,Maine,11/1/2009,1,0,1,1,0,Asian,Asian,1,Hate Crime Against Society,1,Commercial Business,'Anti-Asian',,'Robbery',True,'Anti-Asian'
1992""",Law Enforcement Agency,IL,Illinois,1992-03-01,2,1,2,1,1,White,Hispanic,3,Anti-LGBT Hate Crime,3,Chicago,Anti-LGBT,"Male, Female",True,Anti-LGBT
1996,Law Enforcement Agency,MD,Maryland,1996-09-01,1,0,1,1,0,Black,Not Hispanic,1,Intimidation,1,Baltimore,Anti-Black or African American,Male,False,
2003,Law Enforcement Agency,TX,Texas,2003-06-15,0,1,1,0,1,White,Not Hispanic,1,Simple Assault,1,Houston,Anti-LGBT,Female,False,
2007,Law Enforcement Agency,NY,New York,2007-02-25,1,0,2,1,1,Asian,Not Hispanic,2,Aggravated Assault,2,New York,Anti-Asian,"Male, Female",True,Anti-Asian
1999,Law Enforcement Agency,FL,Florida,1999-10-10,2,0,3,2,1,Hispanic,Not Hispanic,2,Vandalism,2,Miami,Anti-Immigrant,"Male, Male",True,Anti-Immigrant
2009,Law Enforcement Agency,CA,California,2009-04-05,0,1,1,0,1,Native American,Not Hispanic,1,Simple Assault,1,Los Angeles,Anti-Native American,Female,False,
2013,Law Enforcement Agency,NC,North Carolina,2013-01-20,1,0,1,1,0,White,Not Hispanic,1,Intimidation,1,Raleigh,Anti-White,Male,False,
1994,Law Enforcement Agency,GA,Georgia,1994-08-01,1,0,1,1,0,Black,Not Hispanic,1,Simple Assault,1,Atlanta,Anti-Black or African American,Male,False,
2005,Law Enforcement Agency,OH,Ohio,2005-12-01,0,1,1,0,1,Hispanic,Not Hispanic,1,Vandalism,1,Columbus,Anti-Hispanic,Female,False,
2011,Law Enforcement Agency,AZ,Arizona,2011-09-01,1,0,2,1,1,White,Not Hispanic,2,Aggravated Assault,2,Phoenix,Anti-White,"Male, Male",True,Anti-White
1995,Law Enforcement Agency,MI,Michigan,1995-05-01,2,0,2,2,0,White,Not Hispanic,2,Intimidation,2,Detroit,Anti-White,"Male, Male",True,Anti-White
2002,Law Enforcement Agency,PA,Pennsylvania,2002-03-01,0,1,1,0,1,Black,Not Hispanic,1,Simple Assault,1,Philadelphia,Anti-Black or African American,Female,False,
2008,Law Enforcement Agency,WA,Washington,2008-11-15,1,0,1,1,0,Asian,Not Hispanic,1,Intimidation,1,Seattle,Anti-Asian,Male,False,
2014,Law Enforcement Agency,VT,Vermont,2014-02-01,0,1,1,0,1,White,Not Hispanic,1,Simple Assault,1,Burlington,Anti-White,Female,False,
1993,Law Enforcement Agency,NJ,New Jersey,1993-04-01,1,0,1,1,0,Black,Not Hispanic,1,Simple Assault,1,Newark,Anti-Black or African American,Male,False,
1998,Law Enforcement Agency,LA,Louisiana,1998-01-01,2,0,2,2,0,Hispanic,Not Hispanic,2,Vandalism,2,New Orleans,Anti-Immigrant,"Male, Male",True,Anti-Immigrant
2001,Law Enforcement Agency,IN,Indiana,2001-09-01,0,1,1,0,1,White,Not Hispanic,1,Vandalism,1,Indianapolis,Anti-White,Female,False,
2006,Law Enforcement Agency,CO,Colorado,2006-06-01,1,0,1,1,0,Native American,Not Hispanic,1,Intimidation,1,Denver,Anti-Native American,Male,False,
2012,Law Enforcement Agency,SC,South Carolina,2012-03-20,1,0,1,1,0,Black,Not Hispanic,1,Simple Assault,1,Columbia,Anti-Black or African American,Male,False,
1997,Law Enforcement Agency,TN,Tennessee,1997-02-01,0,1,1,0,1,Hispanic,Not Hispanic,1,Simple Assault,1,Nashville,Anti-Immigrant,Female,False,
1991,Law Enforcement Agency,AK,Alaska,1991-06-01,1,0,1,1,0,Asian,Not Hispanic,1,Intimidation,1,Anchorage,Anti-Asian,Male,False,
2004,Law Enforcement Agency,CT,Connecticut,2004-04-01,2,0,2,2,0,White,Not Hispanic,2,Vandalism,2,Hartford,Anti-White,"Male, Male",True,Anti-White
2010,Law Enforcement Agency,OR,Oregon,2010-01-15,0,1,1,0,1,Black,Not Hispanic,1,Simple Assault,1,Portland,Anti-Black or African American,Female,False,
1996,Law Enforcement Agency,ME,Maine,1996-11-01,1,0,1,1,0,White,Not Hispanic,1,Intimidation,1,Bangor,Anti-White,Male,False,
2009,Law Enforcement Agency,UT,Utah,2009-03-01,0,1,1,0,1,Hispanic,Not Hispanic,1,Vandalism,1,Salt Lake City,Anti-Hispanic,Female,False,
2013,Law Enforcement Agency,DE,Delaware,2013-09-01,2,0,2,2,0,White,Not Hispanic,2,Vandalism,2,Wilmington,Anti-White,"Male, Male",True,Anti-White
1994,Law Enforcement Agency,KY,Kentucky,1994-03-01,1,0,1,1,0,Native American,Not Hispanic,1,Intimidation,1,Louisville,Anti-Native American,Male,False,
2005,Law Enforcement Agency,NV,Nevada,2005-08-01,0,1,1,0,1,Black,Not Hispanic,1,Simple Assault,1,Las Vegas,Anti-Black or African American,Female,False,
2011,Law Enforcement Agency,MT,Montana,2011-06-01,1,0,1,1,0,Asian,Not Hispanic,1,Intimidation,1,Helena,Anti-Asian,Male,False,
1995,Law Enforcement Agency,RI,Rhode Island,1995-07-01,2,0,2,2,0,Hispanic,Not Hispanic,2,Vandalism,2,Providence,Anti-Immigrant,"Male, Male",True,Anti-Immigrant
2002,Law Enforcement Agency,IA,Iowa,2002-10-01,0,1,1,0,1,White,Not Hispanic,1,Simple Assault,1,Des Moines,Anti-White,Female,False,
2007,Law Enforcement Agency,KS,Kansas,2007-09-01,1,0,1,1,0,Native American,Not Hispanic,1,Intimidation,1,Topeka,Anti-Native American,Male,False,
1999,Law Enforcement Agency,WV,West Virginia,1999-05-01,1,0,1,1,0,Black,Not Hispanic,1,Simple Assault,1,Charleston,Anti-Black or African American,Male,False,
2009,Law Enforcement Agency,ND,North Dakota,2009-07-01,0,1,1,0,1,Asian,Not Hispanic,1,Simple Assault,1,Bismarck,Anti-Asian,Female,False,
2013,Law Enforcement Agency,AK,Alaska,2013-05-01,2,0,2,2,0,White,Not Hispanic,2,Vandalism,2,Juneau,Anti-White,"Male, Male",True,Anti-White
1994,Law Enforcement Agency,VT,Vermont,1994-09-01,1,0,1,1,0,Native American,Not Hispanic,1,Intimidation,1,Montpelier,Anti-Native American,Male,False,
2005,Law Enforcement Agency,ID,Idaho,2005-01-01,0,1,1,0,1,Hispanic,Not Hispanic,1,Simple Assault,1,Boise,Anti-Hispanic,Female,False,
2011,Law Enforcement Agency,NE,Nebraska,2011-04-01,1,0,1,1,0,Asian,Not Hispanic,1,Intimidation,1,Lincoln,Anti-Asian,Male,False,
1995,Law Enforcement Agency,WY,Wyoming,1995-03-01,1,0,1,1,0,Black,Not Hispanic,1,Simple Assault,1,Cheyenne,Anti-Black or African American,Male,False,
2002,Law Enforcement Agency,HI,Hawaii,2002-12-01,0,1,1,0,1,White,Not Hispanic,1,Simple Assault,1,Honolulu,Anti-White,Female,False,
2007,Law Enforcement Agency,GA,Georgia,2007-08-01,2,0,2,2,0,Hispanic,Not Hispanic,2,Vandalism,2,Atlanta,Anti-Immigrant,"Male, Male",True,Anti-Immigrant
1991,Local,,California,1991-01-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Street/Hwy,Anti-White,Adult,No,TRUE
1991,State,,Pennsylvania,1991-02-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1991,Local,,Texas,1991-03-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1991,Federal,,New York,1991-04-01,0,0,1,0,1,Asian,Non-Hispanic,1,Intimidation,1,School,Anti-Asian,Adult,TRUE,TRUE
1991,State,,Florida,1991-05-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Park/Recreation Area,Anti-White,Adult,No,TRUE
1991,Local,,Illinois,1991-06-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1991,Federal,,Ohio,1991-07-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1991,State,,Georgia,1991-08-01,0,0,1,0,1,Native American,Non-Hispanic,1,Intimidation,1,School,Anti-Native American,Adult,No,TRUE
1991,Local,,Michigan,1991-09-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Street/Hwy,Anti-White,Adult,No,TRUE
1991,Federal,,North Carolina,1991-10-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1991,Local,,Wisconsin,1991-11-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1991,Federal,,Virginia,1991-12-01,0,0,1,0,1,Asian,Non-Hispanic,1,Intimidation,1,School,Anti-Asian,Adult,No,TRUE
1992,State,,California,1992-01-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Street/Hwy,Anti-White,Adult,No,TRUE
1992,Local,,Pennsylvania,1992-02-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1992,Federal,,Texas,1992-03-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1992,State,,New York,1992-04-01,0,0,1,0,1,Asian,Non-Hispanic,1,Intimidation,1,School,Anti-Asian,Adult,No,TRUE
1992,Local,,Florida,1992-05-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Park/Recreation Area,Anti-White,Adult,No,TRUE
1992,Federal,,Illinois,1992-06-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1992,State,,Ohio,1992-07-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1992,Local,,Georgia,1992-08-01,0,0,1,0,1,Native American,Non-Hispanic,1,Intimidation,1,School,Anti-Native American,Adult,No,TRUE
1992,Federal,,Michigan,1992-09-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Street/Hwy,Anti-White,Adult,No,TRUE
1992,State,,North Carolina,1992-10-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1992,Local,,Wisconsin,1992-11-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1992,Federal,,Virginia,1992-12-01,0,0,1,0,1,Asian,Non-Hispanic,1,Intimidation,1,School,Anti-Asian,Adult,No,TRUE
1993,State,,California,1993-01-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Street/Hwy,Anti-White,Adult,No,TRUE
1993,Local,,Pennsylvania,1993-02-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1993,Federal,,Texas,1993-03-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
1993,State,,New York,1993-04-01,0,0,1,0,1,Asian,Non-Hispanic,1,Intimidation,1,School,Anti-Asian,Adult,No,TRUE
1993,Local,,Florida,1993-05-01,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Park/Recreation Area,Anti-White,Adult,No,TRUE
1993,Federal,,Illinois,1993-06-01,0,1,1,0,1,Black,Non-Hispanic,1,Vandalism,1,Residential,Anti-Black,Juvenile,No,TRUE
1993,State,,Ohio,1993-07-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Aggravated Assault,2,Commercial,Anti-Hispanic,Adult,TRUE,TRUE
