"1991","Local",,"California","1991-01-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1991","State",,"Pennsylvania","1991-02-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1991","Local",,"Texas","1991-03-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1991","Federal",,"New York","1991-04-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult",TRUE,TRUE
"1991","State",,"Florida","1991-05-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Park/Recreation Area","Anti-White","Adult","No",TRUE
"1991","Local",,"Illinois","1991-06-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1991","Federal",,"Ohio","1991-07-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1991","State",,"Georgia","1991-08-01",0,0,1,0,1,"Native American","Non-Hispanic",1,"Intimidation",1,"School","Anti-Native American","Adult","No",TRUE
"1991","Local",,"Michigan","1991-09-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1991","Federal",,"North Carolina","1991-10-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1991","Local",,"Wisconsin","1991-11-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1991","Federal",,"Virginia","1991-12-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult","No",TRUE
"1992","State",,"California","1992-01-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1992","Local",,"Pennsylvania","1992-02-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1992","Federal",,"Texas","1992-03-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1992","State",,"New York","1992-04-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult","No",TRUE
"1992","Local",,"Florida","1992-05-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Park/Recreation Area","Anti-White","Adult","No",TRUE
"1992","Federal",,"Illinois","1992-06-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1992","State",,"Ohio","1992-07-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1992","Local",,"Georgia","1992-08-01",0,0,1,0,1,"Native American","Non-Hispanic",1,"Intimidation",1,"School","Anti-Native American","Adult","No",TRUE
"1992","Federal",,"Michigan","1992-09-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1992","State",,"North Carolina","1992-10-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1992","Local",,"Wisconsin","1992-11-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1992","Federal",,"Virginia","1992-12-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult","No",TRUE
"1993","State",,"California","1993-01-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1993","Local",,"Pennsylvania","1993-02-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1993","Federal",,"Texas","1993-03-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1993","State",,"New York","1993-04-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult","No",TRUE
"1993","Local",,"Florida","1993-05-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Park/Recreation Area","Anti-White","Adult","No",TRUE
"1993","Federal",,"Illinois","1993-06-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1993","State",,"Ohio","1993-07-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1993","Local",,"Georgia","1993-08-01",0,0,1,0,1,"Native American","Non-Hispanic",1,"Intimidation",1,"School","Anti-Native American","Adult","No",TRUE
"1993","Federal",,"Michigan","1993-09-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1993","State",,"North Carolina","1993-10-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1993","Local",,"Wisconsin","1993-11-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1993","Federal",,"Virginia","1993-12-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult","No",TRUE
"1994","State",,"California","1994-01-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Street/Hwy","Anti-White","Adult","No",TRUE
"1994","Local",,"Pennsylvania","1994-02-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
"1994","Federal",,"Texas","1994-03-01",1,0,2,1,1,"Hispanic","Non-Hispanic",2,"Aggravated Assault",2,"Commercial","Anti-Hispanic","Adult",TRUE,TRUE
"1994","State",,"New York","1994-04-01",0,0,1,0,1,"Asian","Non-Hispanic",1,"Intimidation",1,"School","Anti-Asian","Adult","No",TRUE
"1994","Local",,"Florida","1994-05-01",1,0,1,1,0,"White","Non-Hispanic",1,"Simple Assault",1,"Park/Recreation Area","Anti-White","Adult","No",TRUE
"1994","Federal",,"Illinois","1994-06-01",0,1,1,0,1,"Black","Non-Hispanic",1,"Vandalism",1,"Residential","Anti-Black","Juvenile","No",TRUE
1991,"Local",,,"1991-01-01",0,0,0,0,0,,"White",,1,"CITY",,"Anti-Government",,1,"Public",
1991,"State",,,"1991-02-02",1,0,1,1,0,,"Black",,2,"STATE",,"Racial Bias",,"Victim of Crime",0,1,"Public",
1992,"Local",NY,"New York",1992-03-03,1,0,1,1,0,"Asian","Asian",2,"CITY",,"Racial Bias",,"Victim of Crime",0,1,"Public",
1992,"Federal",,,"1992-04-04",0,0,0,0,0,,"Hispanic",,1,"FEDERAL",,"Anti-Government",,1,"Public",
1991,"State",,,"1991-05-05",0,0,0,0,0,,"White",,1,"STATE",,"Anti-Government",,1,"Public",
1993,"Local",,,"1993-06-06",1,0,1,1,0,,"Black",,2,"CITY",,"Racial Bias",,1,"Public",
1992,"Federal",,,"1992-07-07",0,0,0,0,0,,"White",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1993,"Local",,,"1993-08-08",0,0,0,0,0,,"Hispanic",,1,"CITY",,"Anti-Government",,1,"Public",
1991,"Local",,,"1991-09-09",1,0,1,1,0,,"White",,2,"CITY",,"Racial Bias",,1,"Public",
1994,"State",,,"1994-10-10",0,0,0,0,0,,"Asian",,1,"STATE",,"Racial Bias",,1,"Public",
1993,"Federal",,,"1993-11-11",1,0,1,1,0,,"Black",,2,"FEDERAL",,"Racial Bias",,1,"Public",
1994,"Local",,,"1994-12-12",0,0,0,0,0,,"White",,1,"CITY",,"Anti-Government",,1,"Public",
1992,"State",,,"1992-01-01",1,0,1,1,0,,"Hispanic",,2,"STATE",,"Racial Bias",,1,"Public",
1992,"Local",,,"1992-02-02",0,0,0,0,0,,"Asian",,1,"CITY",,"Racial Bias",,1,"Public",
1993,"Local",,,"1993-03-03",1,0,1,1,0,,"Black",,2,"CITY",,"Racial Bias",,1,"Public",
1992,"Federal",,,"1992-04-04",0,0,0,0,0,,"White",,1,"FEDERAL",,"Anti-Government",,1,"Public",
1994,"State",,,"1994-05-05",0,0,0,0,0,,"Hispanic",,1,"STATE",,"Racial Bias",,1,"Public",
1993,"Federal",,,"1993-06-06",1,0,1,1,0,,"Asian",,2,"FEDERAL",,"Racial Bias",,1,"Public",
1994,"Local",,,"1994-07-07",0,0,0,0,0,,"Black",,1,"CITY",,"Anti-Government",,1,"Public",
1992,"State",,,"1992-08-08",1,0,1,1,0,,"White",,2,"STATE",,"Racial Bias",,1,"Public",
1994,"State",,,"1994-09-09",0,0,0,0,0,,"Hispanic",,1,"STATE",,"Racial Bias",,1,"Public",
1993,"Local",,,"1993-10-10",1,0,1,1,0,,"Asian",,2,"CITY",,"Racial Bias",,1,"Public",
1995,"Federal",,,"1995-11-11",0,0,0,0,0,,"Black",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1994,"Local",,,"1994-12-12",0,0,0,0,0,,"White",,1,"CITY",,"Anti-Government",,1,"Public",
1993,"State",,,"1993-01-01",1,0,1,1,0,,"Hispanic",,2,"STATE",,"Racial Bias",,1,"Public",
1994,"Federal",,,"1994-02-02",0,0,0,0,0,,"Asian",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1995,"Local",,,"1995-03-03",1,0,1,1,0,,"Black",,2,"CITY",,"Racial Bias",,1,"Public",
1994,"State",,,"1994-04-04",0,0,0,0,0,,"White",,1,"STATE",,"Anti-Government",,1,"Public",
1995,"State",,,"1995-05-05",1,0,1,1,0,,"Hispanic",,2,"STATE",,"Racial Bias",,1,"Public",
1994,"Federal",,,"1994-06-06",0,0,0,0,0,,"Asian",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1995,"Local",,,"1995-07-07",0,0,0,0,0,,"Black",,1,"CITY",,"Anti-Government",,1,"Public",
1994,"State",,,"1994-08-08",1,0,1,1,0,,"White",,2,"STATE",,"Racial Bias",,1,"Public",
1995,"Federal",,,"1995-09-09",0,0,0,0,0,,"Hispanic",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1995,"State",,,"1995-10-10",0,0,0,0,0,,"Asian",,1,"STATE",,"Anti-Government",,1,"Public",
1996,"Local",,,"1996-11-11",1,0,1,1,0,,"Black",,2,"CITY",,"Racial Bias",,1,"Public",
1995,"Federal",,,"1995-12-12",0,0,0,0,0,,"White",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1996,"State",,,"1996-01-01",0,0,0,0,0,,"Hispanic",,1,"STATE",,"Racial Bias",,1,"Public",
1996,"State",,,"1996-02-02",1,0,1,1,0,,"Asian",,2,"STATE",,"Anti-Government",,1,"Public",
1995,"Local",,,"1995-03-03",0,0,0,0,0,,"Black",,1,"CITY",,"Racial Bias",,1,"Public",
1996,"Federal",,,"1996-04-04",1,0,1,1,0,,"White",,2,"FEDERAL",,"Racial Bias",,1,"Public",
1996,"State",,,"1996-05-05",0,0,0,0,0,,"Hispanic",,1,"STATE",,"Anti-Government",,1,"Public",
1996,"Local",,,"1996-06-06",0,0,0,0,0,,"Asian",,1,"CITY",,"Racial Bias",,1,"Public",
1995,"Federal",,,"1995-07-07",1,0,1,1,0,,"Black",,2,"FEDERAL",,"Racial Bias",,1,"Public",
1996,"Federal",,,"1996-08-08",0,0,0,0,0,,"White",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1996,"Local",,,"1996-09-09",0,0,0,0,0,,"Hispanic",,1,"CITY",,"Racial Bias",,1,"Public",
1996,"State",,,"1996-10-10",1,0,1,1,0,,"Asian",,2,"STATE",,"Racial Bias",,1,"Public",
1997,"Federal",,,"1997-11-11",0,0,0,0,0,,"Black",,1,"FEDERAL",,"Racial Bias",,1,"Public",
1996,"Local",,,"1996-12-12",1,0,1,1,0,,"White",,2,"CITY",,"Racial Bias",,1,"Public"
1993,"Federal Bureau of Investigation","CA","California","1993-04-20","1","0","5","3","2","White","Non-Hispanic","2","Simple Assault","2","Parks and recreational areas","Anti-White","Adult","Y","Y"
1996,"City Police Department","NY","New York","1996-07-15","0","1","2","1","1","Asian","Hispanic","1","Intimidation","1","Residential areas","Anti-Asian","Juvenile","N","N"
2000,"County Sheriff's Department","TX","Texas","2000-10-12","2","0","4","2","2","Black","Non-Hispanic","3","Aggravated Assault","3","Businesses and services","Anti-Black","Adult","Y","Y"
1995,"State Police Department","OH","Ohio","1995-02-18","3","0","6","4","2","White","Non-Hispanic","4","Vandalism","4","Roadways and highways","Anti-White","Adult","Y","Y"
2001,"City Police Department","FL","Florida","2001-05-25","1","0","3","2","1","Hispanic","Non-Hispanic","2","Hate Crime Against Individuals: Other","2","Parks and recreational areas","Anti-Hispanic","Adult","Y","Y"
1992,"Federal Bureau of Investigation","IL","Illinois","1992-09-10","0","1","4","2","2","Native American","Non-Hispanic","1","Simple Assault","1","Residential areas","Anti-Native American","Juvenile","N","N"
2005,"County Sheriff's Department","GA","Georgia","2005-11-22","2","0","5","3","2","Black","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Businesses and services","Anti-Black","Adult","Y","Y"
2003,"City Police Department","MI","Michigan","2003-08-20","1","0","2","1","1","White","Non-Hispanic","2","Vandalism","2","Parks and recreational areas","Anti-White","Adult","Y","Y"
1998,"State Police Department","NJ","New Jersey","1998-01-15","3","0","6","4","2","Asian","Non-Hispanic","4","Hate Crime Against Individuals: Other","4","Roadways and highways","Anti-Asian","Adult","Y","Y"
2008,"Federal Bureau of Investigation","PA","Pennsylvania","2008-03-18","2","0","4","2","2","Black","Non-Hispanic","3","Simple Assault","3","Residential areas","Anti-Black","Adult","Y","Y"
2009,"City Police Department","CT","Connecticut","2009-09-10","1","0","3","2","1","Hispanic","Non-Hispanic","2","Vandalism","2","Parks and recreational areas","Anti-Hispanic","Adult","Y","Y"
1997,"County Sheriff's Department","NC","North Carolina","1997-06-25","2","0","5","3","2","White","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Businesses and services","Anti-White","Adult","Y","Y"
2006,"State Police Department","IN","Indiana","2006-12-20","1","0","2","1","1","Asian","Non-Hispanic","2","Vandalism","2","Roadways and highways","Anti-Asian","Adult","Y","Y"
2004,"Federal Bureau of Investigation","KY","Kentucky","2004-07-10","0","1","3","2","1","Black","Non-Hispanic","1","Simple Assault","1","Residential areas","Anti-Black","Juvenile","N","N"
1999,"City Police Department","SC","South Carolina","1999-03-25","3","0","6","4","2","White","Non-Hispanic","4","Hate Crime Against Individuals: Other","4","Businesses and services","Anti-White","Adult","Y","Y"
2007,"County Sheriff's Department","WI","Wisconsin","2007-10-15","2","0","5","3","2","Native American","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Parks and recreational areas","Anti-Native American","Adult","Y","Y"
2002,"State Police Department","AR","Arkansas","2002-09-18","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Roadways and highways","Anti-Hispanic","Adult","Y","Y"
1994,"Federal Bureau of Investigation","AL","Alabama","1994-05-10","0","1","4","2","2","Asian","Non-Hispanic","1","Simple Assault","1","Residential areas","Anti-Asian","Juvenile","N","N"
2000,"County Sheriff's Department","OK","Oklahoma","2000-01-20","2","0","5","3","2","White","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Businesses and services","Anti-White","Adult","Y","Y"
1996,"City Police Department","TN","Tennessee","1996-11-25","3","0","6","4","2","Black","Non-Hispanic","4","Vandalism","4","Parks and recreational areas","Anti-Black","Adult","Y","Y"
2001,"State Police Department","MS","Mississippi","2001-06-10","1","0","2","1","1","White","Non-Hispanic","2","Vandalism","2","Roadways and highways","Anti-White","Adult","Y","Y"
1992,"County Sheriff's Department","LA","Louisiana","1992-08-10","0","1","3","2","1","Native American","Non-Hispanic","1","Simple Assault","1","Residential areas","Anti-Native American","Juvenile","N","N"
2003,"Federal Bureau of Investigation","NV","Nevada","2003-04-20","2","0","4","2","2","Asian","Non-Hispanic","3","Simple Assault","3","Businesses and services","Anti-Asian","Adult","Y","Y"
1995,"City Police Department","UT","Utah","1995-09-15","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Parks and recreational areas","Anti-Hispanic","Adult","Y","Y"
2009,"County Sheriff's Department","MO","Missouri","2009-01-10","2","0","5","3","2","Black","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Businesses and services","Anti-Black","Adult","Y","Y"
1998,"State Police Department","IA","Iowa","1998-06-20","3","0","6","4","2","White","Non-Hispanic","4","Hate Crime Against Individuals: Other","4","Roadways and highways","Anti-White","Adult","Y","Y"
2008,"City Police Department","DE","Delaware","2008-12-15","1","0","3","2","1","Native American","Non-Hispanic","2","Vandalism","2","Parks and recreational areas","Anti-Native American","Adult","Y","Y"
2002,"Federal Bureau of Investigation","RI","Rhode Island","2002-01-20","0","1","2","1","1","Asian","Non-Hispanic","1","Simple Assault","1","Residential areas","Anti-Asian","Juvenile","N","N"
2005,"County Sheriff's Department","VT","Vermont","2005-03-10","2","0","5","3","2","Black","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Businesses and services","Anti-Black","Adult","Y","Y"
2006,"State Police Department","ND","North Dakota","2006-08-18","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Roadways and highways","Anti-Hispanic","Adult","Y","Y"
2007,"City Police Department","MT","Montana","2007-09-25","3","0","6","4","2","White","Non-Hispanic","4","Hate Crime Against Individuals: Other","4","Parks and recreational areas","Anti-White","Adult","Y","Y"
2008,"Federal Bureau of Investigation","WY","Wyoming","2008-04-10","2","0","5","3","2","Native American","Non-Hispanic","3","Simple Assault","3","Residential areas","Anti-Native American","Adult","Y","Y"
2004,"County Sheriff's Department","ID","Idaho","2004-11-18","1","0","2","1","1","Asian","Non-Hispanic","2","Vandalism","2","Roadways and highways","Anti-Asian","Adult","Y","Y"
2003,"State Police Department","MN","Minnesota","2003-07-20","0","1","3","2","1","Black","Non-Hispanic","1","Simple Assault","1","Residential areas","Anti-Black","Juvenile","N","N"
2002,"City Police Department","NH","New Hampshire","2002-03-10","2","0","5","3","2","White","Non-Hispanic","3","Hate Crime Against Individuals: Other","3","Businesses and services","Anti-White","Adult","Y","Y"
1997,"Federal Bureau of Investigation","CO","Colorado","1997-01-18","3","0","6","4","2","Hispanic","Non-Hispanic","4","Vandalism","4","Parks and recreational areas","Anti-Hispanic","Adult","Y","Y"
2005,"County Sheriff's Department","SD","South Dakota","2005-06-20","1","0","2","1","1","Native American","Non-Hispanic","2","Vandalism","2","Roadways and highways","Anti-Native American","Adult","Y","Y"
"\"data_year\",\"agency_type_name\",\"state_abbr\",\"state_name\",\"incident_date\",\"adult_victim_count\",\"juvenile_victim_count\",\"total_offender_count\",\"adult_offender_count\",\"juvenile_offender_count\",\"offender_race\",\"offender_ethnicity\",\"victim_count\",\"offense_name\",\"total_individual_victims\",\"location_name\",\"bias_desc\",\"victim_types\",\"multiple_offense\",\"multiple_bias\"\n
\"2014\",\"Local Police Department\",\"NH\",\"New Hampshire\",\"2014-03-16\",\"1\",\"0\",\"2\",\"2\",\"0\",\"White\",\"Non-Hispanic\",\"2\",\"Larceny theft\",\"1\",\"Newmarket High School\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"State Police\",\"MI\",\"Michigan\",\"2014-07-05\",\"0\",\"1\",\"1\",\"1\",\"0\",\"Black or African American\",\"Non-Hispanic\",\"1\",\"Simple assault\",\"1\",\"Detroit Public Park\",\"Anti-Black or African American Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2014\",\"Federal Bureau of Investigation\",\"CA\",\"California\",\"2014-11-15\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Asian\",\"Non-Hispanic\",\"1\",\"Intimidation\",\"1\",\"Los Angeles International Airport\",\"Anti-Asian Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"County Police Department\",\"TX\",\"Texas\",\"2014-04-18\",\"1\",\"0\",\"1\",\"1\",\"0\",\"Native Hawaiian or Other Pacific Islander\",\"Non-Hispanic\",\"1\",\"Vandalism\",\"1\",\"Amarillo City Hall\",\"Anti-Native Hawaiian or Other Pacific Islander Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Local Police Department\",\"NY\",\"New York\",\"2014-09-02\",\"0\",\"1\",\"1\",\"1\",\"0\",\"White\",\"Hispanic or Latino\",\"1\",\"Aggravated assault\",\"1\",\"Bronx High School\",\"Anti-White Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2014\",\"State Police\",\"FL\",\"Florida\",\"2014-02-12\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Black or African American\",\"Non-Hispanic\",\"1\",\"Simple assault\",\"1\",\"Miami Public Beach\",\"Anti-Black or African American Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Federal Bureau of Investigation\",\"IL\",\"Illinois\",\"2014-03-29\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Asian\",\"Non-Hispanic\",\"1\",\"Intimidation\",\"1\",\"Chicago Public Library\",\"Anti-Asian Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"County Police Department\",\"GA\",\"Georgia\",\"2014-05-20\",\"1\",\"0\",\"2\",\"2\",\"0\",\"White\",\"Non-Hispanic\",\"2\",\"Larceny theft\",\"1\",\"Atlanta City Hall\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Local Police Department\",\"CO\",\"Colorado\",\"2014-08-25\",\"0\",\"1\",\"1\",\"1\",\"0\",\"Black or African American\",\"Non-Hispanic\",\"1\",\"Simple assault\",\"1\",\"Denver Public Park\",\"Anti-Black or African American Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2014\",\"State Police\",\"NJ\",\"New Jersey\",\"2014-01-15\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Asian\",\"Non-Hispanic\",\"1\",\"Intimidation\",\"1\",\"Newark Public School\",\"Anti-Asian Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Federal Bureau of Investigation\",\"NV\",\"Nevada\",\"2014-12-13\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Native Hawaiian or Other Pacific Islander\",\"Non-Hispanic\",\"1\",\"Vandalism\",\"1\",\"Las Vegas Public Park\",\"Anti-Native Hawaiian or Other Pacific Islander Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"County Police Department\",\"OH\",\"Ohio\",\"2014-03-11\",\"1\",\"0\",\"1\",\"1\",\"0\",\"White\",\"Hispanic or Latino\",\"1\",\"Larceny theft\",\"1\",\"Columbus City Hall\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Local Police Department\",\"PA\",\"Pennsylvania\",\"2014-06-22\",\"0\",\"1\",\"1\",\"1\",\"0\",\"Black or African American\",\"Non-Hispanic\",\"1\",\"Simple assault\",\"1\",\"Philadelphia Public School\",\"Anti-Black or African American Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2014\",\"State Police\",\"IN\",\"Indiana\",\"2014-09-15\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Asian\",\"Non-Hispanic\",\"1\",\"Intimidation\",\"1\",\"Indianapolis Public Library\",\"Anti-Asian Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Federal Bureau of Investigation\",\"UT\",\"Utah\",\"2014-07-20\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Native Hawaiian or Other Pacific Islander\",\"Non-Hispanic\",\"1\",\"Vandalism\",\"1\",\"Salt Lake City Public Park\",\"Anti-Native Hawaiian or Other Pacific Islander Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"County Police Department\",\"MD\",\"Maryland\",\"2014-04-05\",\"1\",\"0\",\"2\",\"2\",\"0\",\"White\",\"Non-Hispanic\",\"2\",\"Larceny theft\",\"1\",\"Baltimore City Hall\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Local Police Department\",\"WA\",\"Washington\",\"2014-10-28\",\"0\",\"1\",\"1\",\"1\",\"0\",\"Black or African American\",\"Hispanic or Latino\",\"1\",\"Simple assault\",\"1\",\"Seattle Public School\",\"Anti-Black or African American Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2014\",\"State Police\",\"AR\",\"Arkansas\",\"2014-05-01\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Asian\",\"Non-Hispanic\",\"1\",\"Intimidation\",\"1\",\"Little Rock Public Library\",\"Anti-Asian Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Federal Bureau of Investigation\",\"IA\",\"Iowa\",\"2014-06-17\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Native Hawaiian or Other Pacific Islander\",\"Non-Hispanic\",\"1\",\"Vandalism\",\"1\",\"Des Moines Public Park\",\"Anti-Native Hawaiian or Other Pacific Islander Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"County Police Department\",\"SD\",\"South Dakota\",\"2014-07-07\",\"1\",\"0\",\"1\",\"1\",\"0\",\"White\",\"Non-Hispanic\",\"1\",\"Larceny theft\",\"1\",\"Sioux Falls City Hall\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Local Police Department\",\"WY\",\"Wyoming\",\"2014-08-04\",\"0\",\"1\",\"1\",\"1\",\"0\",\"Black or African American\",\"Hispanic or Latino\",\"1\",\"Simple assault\",\"1\",\"Cheyenne Public School\",\"Anti-Black or African American Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2014\",\"State Police\",\"ME\",\"Maine\",\"2014-09-18\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Asian\",\"Non-Hispanic\",\"1\",\"Intimidation\",\"1\",\"Portland Public Library\",\"Anti-Asian Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Federal Bureau of Investigation\",\"RI\",\"Rhode Island\",\"2014-10-22\",\"0\",\"0\",\"1\",\"1\",\"0\",\"Native Hawaiian or Other Pacific Islander\",\"Non-Hispanic\",\"1\",\"Vandalism\",\"1\",\"Providence Public Park\",\"Anti-Native Hawaiian or Other Pacific Islander Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"County Police Department\",\"CT\",\"Connecticut\",\"2014-11-19\",\"1\",\"0\",\"1\",\"1\",\"0\",\"White\",\"Hispanic or Latino\",\"1\",\"Larceny theft\",\"1\",\"Hartford City Hall\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
\"2014\",\"Local Police Department\",\"DE\",\"Delaware\",\"2014-12-06\",\"0\",\"1\",\"1\",\"1\",\"0\",\"Black or African American\",\"Non-Hispanic\",\"1\",\"Simple assault\",\"1\",\"Wilmington Public School\",\"Anti-Black or African American Bias\",\"Juvenile\",\"Yes\",\"No\"\n
\"2013\",\"Local Police Department\",\"VT\",\"Vermont\",\"2013-02-14\",\"1\",\"0\",\"1\",\"1\",\"0\",\"White\",\"Non-Hispanic\",\"1\",\"Larceny theft\",\"1\",\"Montpelier City Hall\",\"Anti-White Bias\",\"Adult\",\"False\",\"No\"\n
